Time ,Status,Data,Parametes
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 9, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 7, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 6, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:22'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 26, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:23'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -30",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:24'],Going towards goal : ,"Distance: 27, Speed: 0, Dir: -29",distance_error_factor: 5angle_error_factor: 3
,,,
