Time ,Status,Data,Parametes
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 14, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 13, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 12, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 11, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 9, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 8, Speed: 100, Dir: 0",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],Going towards goal : ,"Distance: 7, Speed: 0, Dir: 28",distance_error_factor: 5angle_error_factor: 3
,,,
['2023-11-09 13:07:43'],goal reached,0,0
